index,codeCVM,issuingCompany,companyName,tradingName,cnpj,marketIndicator,typeBDR,dateListing,status,segment,segmentEng,type,market
1637,905331,MNAR,MINAS ARENA - GESTAO DE INSTALACOES ESPORTIVAS S.A,MINASARENA,13012956000155,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1638,8818,MMAQ,MINASMAQUINAS S.A.,MINASMAQUINA,17161241000115,1,,13/01/1972,A,Material de Transporte,Transportation Material,1,
1639,905158,MCRB,MINERACAO CARAIBA S.A.,MCARAIBA,42509257000113,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1640,917505,MMIP,MINERAÇÃO MORRO DO IPÊ S.A,MINERAÇÃO MO,22902554000117,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1641,20931,BEEF,MINERVA S.A.,MINERVA,67620377000114,18,,18/07/2007,A,Carnes e Derivados,Meat. Poultry and Others,1,NM
1642,910331,MNGN,MINORGAN INDÚSTRIA E COMÉRCIO DE FERTILIZANTES S.A,MINORGAN,2599378000189,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1643,13765,MNPR,MINUPAR PARTICIPACOES S.A.,MINUPAR,90076886000140,1,,21/12/1990,A,Carnes e Derivados,Meat. Poultry and Others,1,
1644,917286,MESA,MIRANTE ENERGÉTICA S.A.,MIRANTENERGE,23541412000134,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1645,24902,MTRE,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MITRE REALTY,7882930000165,18,,03/02/2020,A,Incorporações,Real Estate,1,NM
1646,905307,MMSP,MMS PARTICIPACOES S/A,MMSPARTICIPA,8542030000131,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1647,905323,MMXS,MMX SUDESTE  MINERACAO S.A.,MMXSUDESTE,8830308000176,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1648,910471,MOBP,MOB PARTICIPACOES S.A.,MOBPARTICIP,7100988000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1649,915405,MOBS,MOB SERVIÇOS DE TELECOMUNICAÇÕES S.A.,MOB SERVIÇOS,7870094000107,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1650,25461,MBLY,MOBLY S.A.,MOBLY,31553627000101,18,,03/02/2021,A,Móveis,Home Furnishing,1,NM
1651,911867,MODA,MODAL PARTICIPACOES LTDA,MODAL PARTIC,681295000109,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1652,917455,MOPA,MONTE PASCOAL HOLDING S.A.,MONTEPASCOAL,44103111000107,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1653,914127,MRHP,MONTE RODOVIAS HOLDING E PARTICIPAÇÕES SOCIETÁRIAS,MONTE RODOVI,37702340000174,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1654,8893,MOAR,MONTEIRO ARANHA S.A.,MONT ARANHA,33102476000192,1,,23/07/1987,A,Holdings Diversificadas,Holdings - Diversified,1,
1655,905430,MORL,MONTREAL EMPREENDIMENTOS IMOBILIARIOS S.A.,MONTREAL,10815804000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1656,911982,MORI,MORI ENERGIA HOLDING S/A,MORI ENERGIA,29183782000123,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1657,905497,MRPT,MOROCO PARTICIPACOES E COMERCIO  S.A.,MOROCO,66635780000154,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1658,905448,MORR,MORRINHOS ENERGIAS RENOVAVEIS S/A,MORRINHOS,17613286000183,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1659,912881,MBBR,MORUMBI DO BRASIL PROJETOS  IMOBILIARIOS  S/A,MORUMBI BR,8588838000150,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1660,26344,VCCO,MOTTU I S.A,MOTTU I S.A,41335131000107,8,,01/03/2023,A,Não Classificados,Not Classified,1,
1661,21067,MDNE,MOURA DUBEUX ENGENHARIA S/A,MOURA DUBEUX,12049631000184,18,,11/02/2020,A,Incorporações,Real Estate,1,NM
1662,904672,JSLO,MOVIDA GESTAO E TERCEIRIZACAO DE FROTAS S/A,MOVIDAGEST,14117559000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1663,905612,MVLV,MOVIDA LOCACAO DE VEICULOS S.A.,MOVIDALOC,7976147000160,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1664,23825,MOVI,MOVIDA PARTICIPACOES SA,MOVIDA,21314559000166,18,,23/01/2017,A,Aluguel de carros,Car rental,1,NM
1665,912014,MPII,MPD INVESTIMENTOS IMOBILIARIOS LTDA,MPD INV IMOB,12284455000165,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1666,25445,ESPA,MPM CORPÓREOS S.A.,ESPACOLASER,26659061000159,18,,28/01/2021,A,Produtos Diversos,Diversified Retailers,1,NM
1667,905489,MRLE,MRL ENGENHARIA E EMPREENDIMENTOS S.A.,MRLENGENHARI,2578564000131,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1668,17949,MRSA,MRS LOGISTICA S.A.,MRS LOGIST,1417222000177,7,,18/12/1998,A,Transporte Ferroviário,Railroads,1,MB
1669,20915,MRVE,MRV ENGENHARIA E PARTICIPACOES S.A.,MRV,8343492000120,18,,13/07/2007,A,Incorporações,Real Estate,1,NM
1670,905521,MSPS,MS PARTICIPACOES SOCIETARIAS S.A,MSPARTICIPAC,10288617000108,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1671,905547,MTEC,MTEL TECNOLOGIA SA,MTELTECSA,71738132000163,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1672,905604,MUDA,MUDAR SPE MASTER EMPREENDIMENTOS IMOBILIARIOS S/A,MUDARSPESA,12356050000195,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1673,916411,MHSM,MULTIHEMO SERVICOS MEDICOS S/A,MULTIHEMO,3559174000187,99,,05/01/2022,A,Não Classificados,Not Classified,7,
1674,26034,MLAS,MULTILASER INDUSTRIAL S.A.,MULTILASER,59717553000102,18,,20/07/2021,A,Computadores e Equipamentos,Hardware and Equipments,1,NM
1675,903104,ELOG,MULTILOG BRASIL S.A.,ELOG,60526977000179,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1676,905299,MLOG,MULTILOG S.A.,MULTILOG,78614229000103,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1677,20982,MULT,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULTIPLAN,7816890000153,17,,25/07/2007,A,Exploração de Imóveis,Real Estate,1,N2
1678,905588,MTTM,MULTITERMINAIS S.A.,MULTITERMINA,6174617000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1679,5312,MNDL,MUNDIAL S.A. - PRODUTOS DE CONSUMO,MUNDIAL,88610191000154,1,,03/01/1972,A,Acessórios,Accessories,1,
1680,917626,MG25,MUSTANG 25 PARTICIPAÇÕES LTDA,MUSTANG 25,20755790000122,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1681,917500,MUTU,MUTUAL CRÉDITO SOLAR I COMPANHIA SECURITIZADORA,MUTUALCRÉDI,46642596000124,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1682,905620,MVSA,MV PARTICIPACOES S.A.,MVPARTICIPAC,28029249000149,1,,31/12/9999,A,Não Classificados,Not Classified,7,
